playedPositions,playedPositionsShort,teamRegionName,tournamentShortName,apps,manOfTheMatch,goal,assistTotal,name,playerId,positionText,teamId,teamName,seasonName,tournamentRegionName,tournamentName,rating,minsPlayed,yellowCard,redCard,ranking
-AMC-FW-,"AM(C),FW",Germany,GB,10,5,13,3,Harry Kane,83532,Forward,37,Bayern,2025/2026,Germany,Bundesliga,8.326,794,0,0,1
-DL-ML-,"D(L),M(L)",Germany,GB,9,2,4,3,Alejandro Grimaldo,107252,Defender,36,Leverkusen,2025/2026,Germany,Bundesliga,7.701111111,766,2,0,2
-AMC-AML-AMR-,AM(CLR),Germany,GB,10,1,4,3,Michael Olise,371281,Midfielder,37,Bayern,2025/2026,Germany,Bundesliga,7.623,767,3,0,3
-AML-AMR-FW-,"AM(LR),FW",Germany,GB,10,1,6,4,Luis Díaz,377168,Forward,37,Bayern,2025/2026,Germany,Bundesliga,7.56,805,4,0,4
-DC-,D(C),Germany,GB,6,1,0,1,Nico Schlotterbeck,371275,Defender,44,Borussia Dortmund,2025/2026,Germany,Bundesliga,7.376666667,540,1,0,5
-DC-,D(C),Germany,GB,8,2,1,0,Luka Vuskovic,533010,Defender,38,Hamburg,2025/2026,Germany,Bundesliga,7.37625,720,1,0,6
-DL-ML-MR-,"D(L),M(LR)",Germany,GB,10,3,1,1,David Raum,330538,Defender,7614,RBL,2025/2026,Germany,Bundesliga,7.367,900,2,0,7
-DL-MC-ML-,"D(L),M(CL)",Germany,GB,9,0,2,1,Maximilian Mittelstädt,261020,Defender,41,Stuttgart,2025/2026,Germany,Bundesliga,7.325555556,669,2,0,8
-DC-DMC-DR-MR-,"D(CR),DMC,M(R)",Germany,GB,10,1,1,2,Joshua Kimmich,283323,Midfielder,37,Bayern,2025/2026,Germany,Bundesliga,7.318,777,3,0,9
-FW-MC-ML-MR-,"M(CLR),FW",Germany,GB,10,2,3,3,Ritsu Doan,343435,Midfielder,45,Eintracht Frankfurt,2025/2026,Germany,Bundesliga,7.309,815,1,0,10
-AMC-FW-,"AM(C),FW",Germany,GB,9,0,5,3,Can Uzun,467776,Midfielder,45,Eintracht Frankfurt,2025/2026,Germany,Bundesliga,7.275555556,594,2,0,11
-DC-,D(C),Germany,GB,8,2,0,0,Jeff Chabot,343317,Defender,41,Stuttgart,2025/2026,Germany,Bundesliga,7.25375,638,0,0,12
-DC-DR-MR-,"D(CR),M(R)",Germany,GB,7,1,1,0,Rasmus Kristensen,302812,Defender,45,Eintracht Frankfurt,2025/2026,Germany,Bundesliga,7.221428571,531,3,0,13
-AMC-AML-AMR-FW-,"AM(CLR),FW",Germany,GB,9,0,4,3,Serge Gnabry,119501,Forward,37,Bayern,2025/2026,Germany,Bundesliga,7.201111111,510,1,0,14
-DC-,D(C),Germany,GB,9,0,1,0,Castello Lukeba,415172,Defender,7614,RBL,2025/2026,Germany,Bundesliga,7.2,810,0,0,15
-MC-ML-MR-,M(CLR),Germany,GB,10,1,4,1,Jakub Kaminski,401352,Midfielder,282,FC Koln,2025/2026,Germany,Bundesliga,7.2,900,0,0,16
-AML-AMR-FW-,"AM(LR),FW",Germany,GB,10,0,4,3,Rômulo,428330,Forward,7614,RBL,2025/2026,Germany,Bundesliga,7.171,812,0,0,17
-DC-DMC-DR-,"D(CR),DMC",Germany,GB,10,0,1,0,Waldemar Anton,296768,Defender,44,Borussia Dortmund,2025/2026,Germany,Bundesliga,7.17,900,1,0,18
-DC-,D(C),Germany,GB,10,1,4,0,Danilho Doekhi,303076,Defender,796,Union Berlin,2025/2026,Germany,Bundesliga,7.165,900,1,0,19
-DC-DR-MR-,"D(CR),M(R)",Germany,GB,10,1,1,4,Vladimír Coufal,111372,Defender,1211,Hoffenheim,2025/2026,Germany,Bundesliga,7.162,890,1,0,20
-AML-,AM(L),Germany,GB,10,2,3,2,Yan Diomande,557000,Forward,7614,RBL,2025/2026,Germany,Bundesliga,7.145,534,2,0,21
-AML-FW-,"AM(L),FW",Germany,GB,9,1,5,1,Serhou Guirassy,236506,Forward,44,Borussia Dortmund,2025/2026,Germany,Bundesliga,7.142222222,792,2,0,22
-DMC-,DMC,Germany,GB,8,3,4,0,Jens Stage,377280,Midfielder,42,Werder Bremen,2025/2026,Germany,Bundesliga,7.1375,653,2,0,23
-DL-DR-MC-MR-,"D(LR),M(CR)",Germany,GB,10,0,1,3,Konrad Laimer,248010,Midfielder,37,Bayern,2025/2026,Germany,Bundesliga,7.132,790,4,0,24
-AML-AMR-FW-,"AM(LR),FW",Germany,GB,9,2,4,1,Tim Lemperle,395001,Forward,1211,Hoffenheim,2025/2026,Germany,Bundesliga,7.123333333,645,1,0,25
-MC-MR-,M(CR),Germany,GB,9,1,1,2,Maximilian Arnold,108919,Midfielder,33,Wolfsburg,2025/2026,Germany,Bundesliga,7.122222222,810,2,0,26
-AMC-AML-AMR-,AM(CLR),Germany,GB,6,2,2,0,Malik Tillman,397465,Midfielder,36,Leverkusen,2025/2026,Germany,Bundesliga,7.116666667,423,0,0,27
-DC-DL-DMC-ML-,"D(CL),DMC,M(L)",Germany,GB,9,0,0,0,Ramy Bensebaini,288892,Defender,44,Borussia Dortmund,2025/2026,Germany,Bundesliga,7.104444444,765,3,0,28
-DC-,D(C),Germany,GB,9,0,1,0,Jonathan Tah,134946,Defender,37,Bayern,2025/2026,Germany,Bundesliga,7.101111111,788,1,0,29
-DC-,D(C),Germany,GB,10,1,0,0,Willi Orbán,104917,Defender,7614,RBL,2025/2026,Germany,Bundesliga,7.094,880,2,0,30
-AMC-AML-,AM(CL),Germany,GB,8,0,2,2,Bilal El Khannouss,433572,Midfielder,41,Stuttgart,2025/2026,Germany,Bundesliga,7.08875,623,2,0,31
-AMC-AML-AMR-FW-,"AM(CLR),FW",Germany,GB,10,1,5,2,Christoph Baumgartner,369979,Midfielder,7614,RBL,2025/2026,Germany,Bundesliga,7.064,782,3,0,32
-DC-,D(C),Germany,GB,10,2,2,2,Edmond Tapsoba,369446,Defender,36,Leverkusen,2025/2026,Germany,Bundesliga,7.058,866,1,0,33
-AMR-FW-,"AM(R),FW",Germany,GB,8,1,5,1,Patrik Schick,243565,Forward,36,Leverkusen,2025/2026,Germany,Bundesliga,7.05375,552,0,0,34
-FW-,FW,Germany,GB,9,1,6,2,Haris Tabakovic,119642,Forward,134,Borussia M.Gladbach,2025/2026,Germany,Bundesliga,7.047777778,573,0,0,35
-DMC-,DMC,Germany,GB,10,1,1,3,Angelo Stiller,407476,Midfielder,41,Stuttgart,2025/2026,Germany,Bundesliga,7.045,776,0,0,36
-DMC-,DMC,Germany,GB,7,0,1,0,Chema Andres,539663,Midfielder,41,Stuttgart,2025/2026,Germany,Bundesliga,7.038571429,401,0,0,37
-DC-DMC-,"D(C),DMC",Germany,GB,10,0,0,0,Nicolas Seiwald,418587,Midfielder,7614,RBL,2025/2026,Germany,Bundesliga,7.037,816,0,0,38
-AML-,AM(L),Germany,GB,10,1,1,3,Bazoumana Touré,551965,Forward,1211,Hoffenheim,2025/2026,Germany,Bundesliga,7.036,809,1,0,39
-DMC-,DMC,Germany,GB,9,1,1,0,Philipp Sander,367534,Midfielder,134,Borussia M.Gladbach,2025/2026,Germany,Bundesliga,7.035555556,666,1,0,40
-FW-MC-ML-MR-,"M(CLR),FW",Germany,GB,9,1,1,5,Farès Chaïbi,444725,Midfielder,45,Eintracht Frankfurt,2025/2026,Germany,Bundesliga,7.035555556,643,1,0,41
-MC-,M(C),Germany,GB,9,1,2,2,Wouter Burger,361878,Midfielder,1211,Hoffenheim,2025/2026,Germany,Bundesliga,7.028888889,726,2,0,42
-MC-ML-MR-,M(CLR),Germany,GB,9,0,1,1,Antonio Nusa,416030,Midfielder,7614,RBL,2025/2026,Germany,Bundesliga,7.022222222,618,0,0,43
-DC-DMC-,"D(C),DMC",Germany,GB,10,0,0,2,Eric Martel,404336,Midfielder,282,FC Koln,2025/2026,Germany,Bundesliga,7.02,869,2,0,44
-DR-MR-,"D(R),M(R)",Germany,GB,6,0,1,1,Yan Couto,421975,Defender,44,Borussia Dortmund,2025/2026,Germany,Bundesliga,7.016666667,473,2,0,45
-AMC-AMR-FW-,"AM(CR),FW",Germany,GB,9,2,6,0,Jonathan Burkardt,363037,Forward,45,Eintracht Frankfurt,2025/2026,Germany,Bundesliga,7.012222222,607,1,0,46
-MC-ML-,M(CL),Germany,GB,9,0,2,0,Jean-Luc Dompé,234353,Forward,38,Hamburg,2025/2026,Germany,Bundesliga,6.98,642,0,0,47
-DR-FW-MC-ML-MR-,"D(R),M(CLR),FW",Germany,GB,8,2,2,3,Marius Bülter,361419,Forward,282,FC Koln,2025/2026,Germany,Bundesliga,6.97875,486,1,0,48
-DC-,D(C),Germany,GB,8,0,0,0,Timo Hübers,296983,Defender,282,FC Koln,2025/2026,Germany,Bundesliga,6.9775,670,0,0,49
-AMC-AML-AMR-FW-,"AM(CLR),FW",Germany,GB,10,1,3,3,Andrej Kramaric,75217,Forward,1211,Hoffenheim,2025/2026,Germany,Bundesliga,6.976,603,1,0,50
-AMC-FW-,"AM(C),FW",Germany,GB,10,0,5,2,Fisnik Asllani,428426,Forward,1211,Hoffenheim,2025/2026,Germany,Bundesliga,6.975,677,1,0,51
-DC-DMC-,"D(C),DMC",Germany,GB,10,0,2,0,Robin Koch,276205,Defender,45,Eintracht Frankfurt,2025/2026,Germany,Bundesliga,6.935,900,0,0,52
-DR-MC-MR-,"D(R),M(CR)",Germany,GB,10,0,0,1,Ridle Baku,356183,Defender,7614,RBL,2025/2026,Germany,Bundesliga,6.934,888,2,0,53
-DC-,D(C),Germany,GB,8,0,1,0,Albian Hajdari,402697,Defender,1211,Hoffenheim,2025/2026,Germany,Bundesliga,6.93,587,3,0,54
-MC-,M(C),Germany,GB,10,1,1,1,Kaishu Sano,509815,Midfielder,219,Mainz,2025/2026,Germany,Bundesliga,6.93,900,0,0,55
-MC-MR-,M(CR),Germany,GB,9,0,0,0,Leon Goretzka,115519,Midfielder,37,Bayern,2025/2026,Germany,Bundesliga,6.903333333,597,3,0,56
-DC-DL-DR-ML-,"D(CLR),M(L)",Germany,GB,10,0,0,0,Bernardo,302588,Defender,1211,Hoffenheim,2025/2026,Germany,Bundesliga,6.896,893,3,0,57
-AML-,AM(L),Germany,GB,9,1,3,1,Samuel Mbangula,468855,Forward,42,Werder Bremen,2025/2026,Germany,Bundesliga,6.892222222,591,0,0,58
-AMC-,AM(C),Germany,GB,10,1,2,3,Assan Ouédraogo,487063,Midfielder,7614,RBL,2025/2026,Germany,Bundesliga,6.886,466,0,0,59
-MC-ML-MR-,M(CLR),Germany,GB,10,1,3,1,Nadiem Amiri,261021,Midfielder,219,Mainz,2025/2026,Germany,Bundesliga,6.886,857,4,0,60
-AMC-,AM(C),Germany,GB,8,1,2,0,Ibrahim Maza,477985,Forward,36,Leverkusen,2025/2026,Germany,Bundesliga,6.88375,398,1,0,61
-AML-FW-,"AM(L),FW",Germany,GB,10,0,4,1,Mohammed Amoura,431045,Forward,33,Wolfsburg,2025/2026,Germany,Bundesliga,6.863,624,1,0,62
-MC-MR-,M(CR),Germany,GB,10,1,2,0,Maximilian Eggestein,254557,Midfielder,50,Freiburg,2025/2026,Germany,Bundesliga,6.86,900,1,0,63
-ML-,M(L),Germany,GB,10,1,1,0,Daniel Svensson,418584,Defender,44,Borussia Dortmund,2025/2026,Germany,Bundesliga,6.856,833,0,0,64
-DC-,D(C),Germany,GB,9,0,0,0,Loïc Badé,398416,Defender,36,Leverkusen,2025/2026,Germany,Bundesliga,6.855555556,711,3,0,65
-GK-,GK,Germany,GB,10,2,0,0,Marvin Schwäbe,249897,Goalkeeper,282,FC Koln,2025/2026,Germany,Bundesliga,6.855,900,0,0,66
-GK-,GK,Germany,GB,10,1,0,1,Alexander Nübel,260770,Goalkeeper,41,Stuttgart,2025/2026,Germany,Bundesliga,6.842,900,0,0,67
-DC-DL-ML-,"D(CL),M(L)",Germany,GB,10,0,0,2,Miro Muheim,401743,Defender,38,Hamburg,2025/2026,Germany,Bundesliga,6.841,892,2,0,68
-AMC-AML-,AM(CL),Germany,GB,9,1,2,1,Jean-Mattéo Bahoya,444748,Forward,45,Eintracht Frankfurt,2025/2026,Germany,Bundesliga,6.835555556,440,0,0,69
-DC-DMC-DR-,"D(CR),DMC",Germany,GB,10,0,0,0,Matthias Ginter,110182,Defender,50,Freiburg,2025/2026,Germany,Bundesliga,6.835,900,1,0,70
-AMC-AMR-,AM(CR),Germany,GB,8,0,3,2,Fabian Rieder,404193,Midfielder,1730,Augsburg,2025/2026,Germany,Bundesliga,6.83375,675,2,0,71
-AMC-AML-AMR-,AM(CLR),Germany,GB,9,0,4,2,Ernest Poku,422737,Forward,36,Leverkusen,2025/2026,Germany,Bundesliga,6.831111111,479,0,0,72
-AMC-AML-AMR-FW-,"AM(CLR),FW",Germany,GB,10,1,2,2,Romano Schmid,383847,Midfielder,42,Werder Bremen,2025/2026,Germany,Bundesliga,6.828,868,1,0,73
-DC-,D(C),Germany,GB,8,0,1,0,Jarell Quansah,430019,Defender,36,Leverkusen,2025/2026,Germany,Bundesliga,6.82,707,3,0,74
-DC-DL-DR-,D(CLR),Germany,GB,10,0,0,0,Nico Elvedi,243534,Defender,134,Borussia M.Gladbach,2025/2026,Germany,Bundesliga,6.818,900,2,0,75
-DC-,D(C),Germany,GB,10,0,0,0,Leopold Querfeld,427502,Defender,796,Union Berlin,2025/2026,Germany,Bundesliga,6.812,900,3,0,76
,Midfielder,Germany,GB,10,0,4,1,Saïd El Mala,517371,Midfielder,282,FC Koln,2025/2026,Germany,Bundesliga,6.809,386,0,0,77
-DC-DL-DR-MR-,"D(CLR),M(R)",Germany,GB,8,0,1,1,Lukas Kübler,111306,Defender,50,Freiburg,2025/2026,Germany,Bundesliga,6.8075,566,1,0,78
-DMC-,DMC,Germany,GB,8,0,1,1,Yannik Engelhardt,434179,Midfielder,134,Borussia M.Gladbach,2025/2026,Germany,Bundesliga,6.8075,631,0,0,79
-MC-,M(C),Germany,GB,10,0,0,2,Aleix García,280663,Midfielder,36,Leverkusen,2025/2026,Germany,Bundesliga,6.802,798,1,0,80
-FW-MC-ML-MR-,"M(CLR),FW",Germany,GB,8,0,2,2,Julian Brandt,141556,Midfielder,44,Borussia Dortmund,2025/2026,Germany,Bundesliga,6.79125,359,0,0,81
-DR-MR-,"D(R),M(R)",Germany,GB,9,0,0,3,Yukinari Sugawara,379783,Defender,42,Werder Bremen,2025/2026,Germany,Bundesliga,6.791111111,793,0,0,82
-GK-,GK,Germany,GB,8,0,0,0,Mio Backhaus,436119,Goalkeeper,42,Werder Bremen,2025/2026,Germany,Bundesliga,6.7875,720,0,0,83
-AMC-FW-,"AM(C),FW",Germany,GB,9,1,2,2,Mert Kömür,474412,Midfielder,1730,Augsburg,2025/2026,Germany,Bundesliga,6.782222222,630,1,0,84
-MC-,M(C),Germany,GB,10,0,0,0,Rocco Reitz,401014,Midfielder,134,Borussia M.Gladbach,2025/2026,Germany,Bundesliga,6.777,829,3,0,85
-DL-DR-MC-ML-,"D(LR),M(CL)",Germany,GB,6,0,1,2,Raphaël Guerreiro,115375,Defender,37,Bayern,2025/2026,Germany,Bundesliga,6.773333333,194,0,0,86
-DC-DR-,D(CR),Germany,GB,9,0,0,1,Andreas Hanche-Olsen,320749,Defender,219,Mainz,2025/2026,Germany,Bundesliga,6.768888889,564,2,0,87
-DL-ML-,"D(L),M(L)",Germany,GB,10,0,1,2,Nathaniel Brown,445354,Defender,45,Eintracht Frankfurt,2025/2026,Germany,Bundesliga,6.768,705,0,0,88
-DR-FW-MC-ML-MR-,"D(R),M(CLR),FW",Germany,GB,7,0,2,1,Jan Thielmann,389376,Midfielder,282,FC Koln,2025/2026,Germany,Bundesliga,6.762857143,451,1,0,89
-AMC-FW-,"AM(C),FW",Germany,GB,6,2,3,0,Deniz Undav,357091,Forward,41,Stuttgart,2025/2026,Germany,Bundesliga,6.761666667,384,2,0,90
-AMR-,AM(R),Germany,GB,9,1,2,0,Johan Bakayoko,427824,Forward,7614,RBL,2025/2026,Germany,Bundesliga,6.757777778,564,1,0,91
-DMC-,DMC,Germany,GB,10,0,0,0,Vinicius Souza,373964,Midfielder,33,Wolfsburg,2025/2026,Germany,Bundesliga,6.755,792,1,0,92
-MC-,M(C),Germany,GB,10,0,1,1,Felix Nmecha,367783,Midfielder,44,Borussia Dortmund,2025/2026,Germany,Bundesliga,6.75,623,0,0,93
-FW-ML-MR-,"M(LR),FW",Germany,GB,7,0,0,2,Franck Honorat,137837,Midfielder,134,Borussia M.Gladbach,2025/2026,Germany,Bundesliga,6.747142857,510,0,0,94
-GK-,GK,Germany,GB,10,0,0,0,Gregor Kobel,336028,Goalkeeper,44,Borussia Dortmund,2025/2026,Germany,Bundesliga,6.741,900,1,0,95
-GK-,GK,Germany,GB,6,0,0,0,Michael Zetterer,280191,Goalkeeper,45,Eintracht Frankfurt,2025/2026,Germany,Bundesliga,6.74,540,0,0,96
-GK-,GK,Germany,GB,10,0,0,0,Daniel Heuer Fernandes,132896,Goalkeeper,38,Hamburg,2025/2026,Germany,Bundesliga,6.739,900,1,0,97
-GK-,GK,Germany,GB,10,1,0,0,Frederik Rønnow,81842,Goalkeeper,796,Union Berlin,2025/2026,Germany,Bundesliga,6.739,900,0,0,98
-AMC-AML-FW-,"AM(CL),FW",Germany,GB,10,1,4,0,Ilyas Ansah,494147,Forward,796,Union Berlin,2025/2026,Germany,Bundesliga,6.738,679,0,0,99
-FW-,FW,Germany,GB,8,0,1,1,Junior Adamu,418590,Forward,50,Freiburg,2025/2026,Germany,Bundesliga,6.7375,440,1,0,100
-DC-DL-DR-MC-ML-MR-,"D(CLR),M(CLR)",Germany,GB,9,0,0,3,Julian Ryerson,320436,Defender,44,Borussia Dortmund,2025/2026,Germany,Bundesliga,6.736666667,516,2,0,101
-DC-DMC-,"D(C),DMC",Germany,GB,10,1,1,0,Rani Khedira,110266,Midfielder,796,Union Berlin,2025/2026,Germany,Bundesliga,6.731,883,3,0,102
-AMC-AML-FW-,"AM(CL),FW",Germany,GB,6,0,3,1,Ermedin Demirovic,351339,Forward,41,Stuttgart,2025/2026,Germany,Bundesliga,6.73,495,1,0,103
-FW-MC-ML-MR-,"M(CLR),FW",Germany,GB,9,0,0,3,Jamie Leweling,379252,Forward,41,Stuttgart,2025/2026,Germany,Bundesliga,6.727777778,644,2,0,104
-MC-MR-,M(CR),Germany,GB,8,1,0,3,Tom Bischof,431282,Midfielder,37,Bayern,2025/2026,Germany,Bundesliga,6.7275,310,1,0,105
-DC-DL-ML-,"D(CL),M(L)",Germany,GB,9,0,0,0,Marco Friedl,333227,Defender,42,Werder Bremen,2025/2026,Germany,Bundesliga,6.726666667,803,2,0,106
-DMC-,DMC,Germany,GB,7,0,2,0,Albert Sambi Lokonga,349102,Midfielder,38,Hamburg,2025/2026,Germany,Bundesliga,6.725714286,412,0,0,107
-DC-,D(C),Germany,GB,9,0,0,0,Dayot Upamecano,327721,Defender,37,Bayern,2025/2026,Germany,Bundesliga,6.721111111,653,2,0,108
-AMC-AML-FW-,"AM(CL),FW",Germany,GB,10,0,2,1,Marco Grüll,385080,Forward,42,Werder Bremen,2025/2026,Germany,Bundesliga,6.715,718,3,0,109
-MC-,M(C),Germany,GB,10,0,0,1,Nicolai Remberg,485118,Midfielder,38,Hamburg,2025/2026,Germany,Bundesliga,6.711,900,3,0,110
-GK-,GK,Germany,GB,10,0,0,0,Péter Gulácsi,67369,Goalkeeper,7614,RBL,2025/2026,Germany,Bundesliga,6.708,900,0,0,111
-AMC-AML-AMR-FW-,"AM(CLR),FW",Germany,GB,10,0,3,0,Tiago Tomás,395850,Forward,41,Stuttgart,2025/2026,Germany,Bundesliga,6.703,453,1,0,112
,Midfielder,Germany,GB,8,0,1,1,Lennart Karl,557706,Midfielder,37,Bayern,2025/2026,Germany,Bundesliga,6.7025,227,0,0,113
-AMC-AML-AMR-FW-,"AM(CLR),FW",Germany,GB,9,0,2,1,Maximilian Beier,387125,Forward,44,Borussia Dortmund,2025/2026,Germany,Bundesliga,6.702222222,562,1,0,114
-DC-DL-DR-ML-MR-,"D(CLR),M(LR)",Germany,GB,9,0,0,2,Joe Scally,363069,Defender,134,Borussia M.Gladbach,2025/2026,Germany,Bundesliga,6.698888889,717,4,0,115
-DC-,D(C),Germany,GB,10,1,1,1,Chrislain Matsima,398372,Defender,1730,Augsburg,2025/2026,Germany,Bundesliga,6.692,900,4,0,116
-AMC-AML-,AM(CL),Germany,GB,10,0,3,1,Vincenzo Grifo,121192,Midfielder,50,Freiburg,2025/2026,Germany,Bundesliga,6.691,571,0,0,117
-DC-DL-,D(CL),Germany,GB,10,0,0,0,Arthur Theate,399961,Defender,45,Eintracht Frankfurt,2025/2026,Germany,Bundesliga,6.689,900,3,0,118
-GK-,GK,Germany,GB,10,1,0,0,Kamil Grabara,364015,Goalkeeper,33,Wolfsburg,2025/2026,Germany,Bundesliga,6.687,900,1,0,119
-DC-,D(C),Germany,GB,9,0,0,0,Konstantinos Koulierakis,457282,Defender,33,Wolfsburg,2025/2026,Germany,Bundesliga,6.681111111,810,1,0,120
-AMC-AMR-FW-,"AM(CR),FW",Germany,GB,10,1,3,0,Rayan Philippe,380644,Forward,38,Hamburg,2025/2026,Germany,Bundesliga,6.681,648,2,0,121
-DC-,D(C),Germany,GB,10,0,0,1,Patrick Mainka,361425,Defender,4852,FC Heidenheim,2025/2026,Germany,Bundesliga,6.677,900,0,0,122
-DC-,D(C),Germany,GB,7,0,0,0,Diogo Leite,361852,Defender,796,Union Berlin,2025/2026,Germany,Bundesliga,6.674285714,600,1,0,123
-DC-DL-DR-,D(CLR),Germany,GB,10,0,1,0,Kevin Diks,232262,Defender,134,Borussia M.Gladbach,2025/2026,Germany,Bundesliga,6.671,793,3,0,124
-DC-,D(C),Germany,GB,8,0,0,0,Moritz Jenz,425018,Defender,33,Wolfsburg,2025/2026,Germany,Bundesliga,6.67,720,3,0,125
-DL-DR-MR-,"D(LR),M(R)",Germany,GB,8,1,1,1,Josha Vagnoman,354241,Defender,41,Stuttgart,2025/2026,Germany,Bundesliga,6.66875,533,1,0,126
-FW-,FW,Germany,GB,9,0,2,0,Christian Kofane,550465,Forward,36,Leverkusen,2025/2026,Germany,Bundesliga,6.667777778,371,3,0,127
-DC-DMC-DR-MR-,"D(CR),DMC,M(R)",Germany,GB,8,0,1,1,Kristijan Jakic,402665,Midfielder,1730,Augsburg,2025/2026,Germany,Bundesliga,6.6675,635,1,0,128
-DC-DMC-,"D(C),DMC",Germany,GB,9,0,0,0,Daniel Elfadli,442403,Midfielder,38,Hamburg,2025/2026,Germany,Bundesliga,6.665555556,748,2,0,129
-DL-MC-ML-MR-,"D(L),M(CLR)",Germany,GB,7,0,0,0,Niklas Beste,353193,Defender,50,Freiburg,2025/2026,Germany,Bundesliga,6.661428571,570,2,0,130
-AMC-,AM(C),Germany,GB,7,0,1,0,Carney Chukwuemeka,410639,Midfielder,44,Borussia Dortmund,2025/2026,Germany,Bundesliga,6.657142857,297,0,0,131
-AMC-AMR-FW-,"AM(CR),FW",Germany,GB,10,1,2,1,Danel Sinani,344949,Forward,283,St. Pauli,2025/2026,Germany,Bundesliga,6.653,758,2,0,132
-FW-,FW,Germany,GB,9,0,0,4,Andrej Ilic,426239,Forward,796,Union Berlin,2025/2026,Germany,Bundesliga,6.652222222,745,3,0,133
